,id,full_name,abbreviation,FG3A,FGA,FG3_PCT,FG3A / FGA,logo_path,TEAM_NAME,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,TEAM_NAME_per100,GROUP_SET_per100,GROUP_VALUE_per100,SEASON_YEAR_per100,GP_per100,W_per100,L_per100,W_PCT_per100,MIN_per100,FGM_per100,FGA_per100,FG_PCT_per100,FG3M_per100,FG3A_per100,FG3_PCT_per100,FTM_per100,FTA_per100,FT_PCT_per100,OREB_per100,DREB_per100,REB_per100,AST_per100,TOV_per100,STL_per100,BLK_per100,BLKA_per100,PF_per100,PFD_per100,PTS_per100,PLUS_MINUS_per100,GP_RANK_per100,W_RANK_per100,L_RANK_per100,W_PCT_RANK_per100,MIN_RANK_per100,FGM_RANK_per100,FGA_RANK_per100,FG_PCT_RANK_per100,FG3M_RANK_per100,FG3A_RANK_per100,FG3_PCT_RANK_per100,FTM_RANK_per100,FTA_RANK_per100,FT_PCT_RANK_per100,OREB_RANK_per100,DREB_RANK_per100,REB_RANK_per100,AST_RANK_per100,TOV_RANK_per100,STL_RANK_per100,BLK_RANK_per100,BLKA_RANK_per100,PF_RANK_per100,PFD_RANK_per100,PTS_RANK_per100,PLUS_MINUS_RANK_per100
20,1610612757,Portland Trail Blazers,POR,34.04,82.74666666666667,0.3658666666666667,0.411376087657106,logos/POR.png,Portland Trail Blazers,114.3,114.7,-0.4,100.3,Portland Trail Blazers,Overall,2022-23,2022-23,65,31,34,0.477,48.7,41.1,85.5,0.481,13.4,35.7,0.375,20.6,25.6,0.806,9.8,31.8,41.6,24.5,14.8,6.6,4.5,4.2,20.6,21.6,116.2,-0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,1610612758,Sacramento Kings,SAC,35.96052631578947,86.02631578947368,0.36684210526315786,0.4180177424288773,logos/SAC.png,Sacramento Kings,117.0,114.2,2.8,102.8,Sacramento Kings,Overall,2022-23,2022-23,64,38,26,0.594,47.4,42.9,85.8,0.5,13.2,35.6,0.37,19.7,24.6,0.799,9.0,32.2,41.2,26.7,13.8,6.8,3.2,3.9,19.4,20.7,118.6,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1610612759,San Antonio Spurs,SAS,31.16,90.57333333333334,0.3406799999999999,0.34403061975563076,logos/SAS.png,San Antonio Spurs,107.0,117.7,-10.7,103.7,San Antonio Spurs,Overall,2022-23,2022-23,65,16,49,0.246,47.2,41.9,89.7,0.467,10.3,30.3,0.34,15.4,20.6,0.747,11.6,30.4,42.0,26.2,15.1,6.8,3.8,5.0,19.7,18.1,109.5,-10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1610612760,Oklahoma City Thunder,OKC,33.924050632911396,90.36708860759494,0.35713924050632906,0.3754027174674324,logos/OKC.png,Oklahoma City Thunder,112.9,111.2,1.7,103.8,Oklahoma City Thunder,Overall,2022-23,2022-23,65,31,34,0.477,47.0,42.3,89.9,0.471,12.0,33.0,0.363,18.0,22.5,0.799,11.2,31.1,42.3,24.1,12.9,8.1,4.5,5.4,20.7,19.6,114.6,1.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1610612761,Toronto Raptors,TOR,32.223684210526315,90.22368421052632,0.3277894736842105,0.35715327402654223,logos/TOR.png,Toronto Raptors,111.6,111.8,-0.2,99.8,Toronto Raptors,Overall,2022-23,2022-23,66,32,34,0.485,48.9,41.8,91.9,0.455,10.9,32.5,0.336,19.3,24.8,0.781,12.8,30.5,43.3,23.7,12.1,9.3,5.3,4.6,20.5,20.6,113.9,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1610612762,Utah Jazz,UTA,37.35443037974684,86.59493670886076,0.3464556962025316,0.43136968279491306,logos/UTA.png,Utah Jazz,113.0,113.4,-0.5,102.8,Utah Jazz,Overall,2022-23,2022-23,66,31,35,0.47,47.7,41.6,88.1,0.472,13.7,38.2,0.358,18.8,23.9,0.787,11.7,32.9,44.6,25.3,15.4,6.4,5.3,4.8,20.4,20.9,115.6,-0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1610612763,Memphis Grizzlies,MEM,32.48051948051948,90.07792207792208,0.33354545454545453,0.36058246828143026,logos/MEM.png,Memphis Grizzlies,110.7,107.3,3.4,104.1,Memphis Grizzlies,Overall,2022-23,2022-23,64,38,26,0.594,47.2,42.3,90.5,0.467,11.1,32.5,0.343,17.7,24.4,0.725,12.2,34.1,46.3,24.8,13.5,8.2,5.9,5.2,19.9,20.4,113.4,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1610612764,Washington Wizards,WAS,31.41891891891892,85.58108108108108,0.35367567567567565,0.3671245855045002,logos/WAS.png,Washington Wizards,111.9,112.2,-0.3,100.6,Washington Wizards,Overall,2022-23,2022-23,65,31,34,0.477,48.6,42.3,87.1,0.485,11.5,31.7,0.362,18.0,22.9,0.786,9.6,34.6,44.3,25.4,14.4,6.9,5.3,4.7,19.1,19.6,114.0,-0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,1610612765,Detroit Pistons,DET,33.29333333333334,85.8,0.34675999999999996,0.3880341880341881,logos/DET.png,Detroit Pistons,108.1,115.7,-7.6,102.1,Detroit Pistons,Overall,2022-23,2022-23,66,15,51,0.227,47.9,39.3,86.3,0.455,11.4,32.5,0.352,20.3,26.3,0.771,10.9,31.2,42.1,22.7,14.9,7.1,3.8,5.4,21.9,21.3,110.2,-7.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,1610612766,Charlotte Hornets,CHA,32.61038961038961,90.45454545454545,0.31854545454545447,0.36051687006460875,logos/CHA.png,Charlotte Hornets,107.1,112.5,-5.4,103.5,Charlotte Hornets,Overall,2022-23,2022-23,67,21,46,0.313,47.1,40.5,89.1,0.454,10.4,31.9,0.328,17.4,23.1,0.75,11.2,32.6,43.8,24.3,13.5,7.7,4.8,5.7,20.1,19.9,108.8,-5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
